18-Feb-2015 14:32:47:118, INFO, balancing incidence table 1 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:47:120, INFO, balancing incidence table 2 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:47:122, INFO, balancing incidence table 3 has 1689 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:47:123, INFO, balancing incidence table 4 has 1689 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:47:125, INFO, balancing incidence table 5 has 1689 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:47:126, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:47:244, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:47:442, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:47:621, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:47:772, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:47:908, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:48:172, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:48:429, INFO, combining final incidence tables.
18-Feb-2015 14:32:48:430, INFO, balancing incidence table 0 has 2570 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:48:431, INFO, balancing incidence table 1 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:48:432, INFO, balancing incidence table 2 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:48:433, INFO, balancing incidence table 3 has 2570 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:48:433, INFO, balancing incidence table 4 has 2570 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:48:434, INFO, balancing incidence table 5 has 2570 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:48:435, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:48:522, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:48:689, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:48:846, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:48:982, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:49:136, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:49:419, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:49:706, INFO, combining final incidence tables.
18-Feb-2015 14:32:49:707, INFO, balancing incidence table 0 has 1227 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:49:708, INFO, balancing incidence table 1 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:49:710, INFO, balancing incidence table 2 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:49:712, INFO, balancing incidence table 3 has 1227 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:49:714, INFO, balancing incidence table 4 has 1227 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
