MAZ,2010 HH
13315,0
13317,95
13318,119
13319,20
13320,51
13323,55
13324,99
13325,48
13334,285
13336,0
13338,28
13339,48
13342,31
13344,49
13347,150
13348,185
13350,122
13354,252
13355,251
13357,265
13358,80
13360,489
13361,26
13362,216
13363,25
13365,50
13366,53
13368,78
13369,35
13370,0
13372,8
13374,107
13375,49
13376,0
13379,309
13381,383
13383,39
13384,0
13389,2
13393,68
13394,58
13395,32
13396,36
13397,67
13398,62
13399,60
13400,14
13402,6
13404,45
13408,205
13409,27
13413,54
13414,154
13415,81
13416,235
13417,181
13422,0
13425,241
13428,49
13429,656
13430,7
13431,112
13433,86
13434,28
13436,52
13437,64
13438,42
13447,68
13448,0
13449,0
13451,204
13454,43
13455,90
13459,177
13460,0
13461,11
13462,54
13464,42
13466,180
13467,127
13469,151
13470,179
13471,146
13473,96
13474,96
13477,177
13483,127
13486,0
13487,81
13488,75
13489,55
13490,54
13491,43
13492,63
13495,30
13496,44
13497,64
13498,28
13499,102
13501,37
13503,59
13506,2
13507,36
13509,0
13510,39
13513,34
13514,0
13515,24
13516,20
13517,0
13518,45
13519,76
13523,112
13526,0
13528,66
13529,282
13530,593
13531,64
13545,69
13547,63
13548,36
13549,117
13552,61
13553,46
13562,439
13564,92
13571,35
13573,149
13574,112
13576,3
13580,352
13586,27
13592,69
13594,31
13596,134
13598,10
13599,64
13600,71
13601,106
13614,150
13615,53
13616,60
13617,53
13618,68
13619,57
13620,58
13623,56
13624,43
13625,40
13626,47
13627,71
13628,21
13630,36
13634,46
13635,83
13636,40
13637,72
13638,131
13639,50
13640,124
13643,109
13644,44
13645,120
13646,148
13648,147
13649,0
13650,223
13651,102
13652,0
13653,44
13655,88
13656,112
13657,0
13659,88
13660,76
13661,22
13664,41
13665,64
13668,42
13677,72
13679,50
13680,37
13681,60
13682,52
13685,76
13688,55
13690,66
13691,60
13692,38
13696,48
13697,27
13699,80
13702,98
13703,41
13704,168
13705,112
13707,0
13712,2
13714,54
13715,93
13717,74
13718,107
13719,63
13723,26
13724,11
13725,0
13726,96
13727,0
13729,0
13731,0
13734,0
13735,76
13736,0
13740,33
13742,56
13743,81
13750,61
13751,21
13753,42
13754,13
13755,85
13759,19
13761,71
13763,40
13765,65
13767,50
13768,53
13769,53
13771,39
13772,67
13782,117
13783,35
13785,77
13786,109
13790,48
13791,52
13792,61
13793,42
13794,56
13795,52
13796,62
13798,51
13799,44
13800,57
13802,443
13803,312
13809,35
13811,69
13812,36
13813,24
13814,37
13815,282
13817,50
13818,70
13819,0
13820,87
13824,38
13826,57
13827,64
13832,47
13833,57
13834,0
13844,102
13845,295
13846,100
13847,46
13848,53
13849,57
13850,0
13851,65
13852,45
13854,31
13856,43
13857,42
13858,53
13859,49
13860,155
13861,14
13862,41
13865,397
